ipopt_zU_out
Variable noncollocation_error
0.94367 9.186213579154287e-15
0.97633 9.109472773950993e-15
1.0 9.090909e-15
Variable ry
0.0 3.999999920000002e-14
0.010337 4.2501447151422854e-14
0.042997 5.1183627699565877e-14
0.06666666666666667 5.79024193703074e-14
0.077003 6.059743087664195e-14
0.109663 6.829759745943064e-14
0.13333333333333333 7.230922787695954e-14
0.14367 7.338552699995748e-14
0.17633 7.420379501089365e-14
0.2 7.231067553960674e-14
0.210337 7.095548156234767e-14
0.242997 6.650206137094453e-14
0.26666666666666666 6.320147634480899e-14
0.277003 6.181779274485186e-14
0.309663 5.75087134463972e-14
0.3333333333333333 5.448945766524258e-14
0.34367 5.3229329850162925e-14
0.37633 4.941117801215279e-14
0.4 4.6814133512471154e-14
0.410337 4.5723907995855404e-14
0.442997 4.2472609926433746e-14
0.4666666666666667 4.0299432479036994e-14
0.477003 3.938347876948299e-14
0.509663 3.667848535018466e-14
0.5333333333333333 3.4889734322165014e-14
0.54367 3.4133614536988506e-14
0.57633 3.191398262943024e-14
0.6 3.045558050505858e-14
0.610337 2.983326435268919e-14
0.642997 2.801371261402659e-14
0.6666666666666666 2.682329407607712e-14
0.677003 2.64418642048135e-14
0.709663 2.531360760378438e-14
0.7333333333333333 2.456950148235788e-14
0.74367 2.4246820443246108e-14
0.77633 2.331228125626873e-14
0.8 2.2713684909675087e-14
0.810337 2.2456841670947582e-14
0.842997 2.1734316745613088e-14
0.8666666666666667 2.129247653460793e-14
0.877003 2.1108000400912218e-14
0.909663 2.0619669359354874e-14
0.9333333333333333 2.0353860212873152e-14
0.94367 2.025360431811193e-14
0.97633 2.0045541735301142e-14
1.0 1.9999999800000003e-14
Variable rz
0.0 1.8867924385902457e-14
0.010337 1.8504629166896745e-14
0.042997 1.757818213795501e-14
0.06666666666666667 1.708386148173258e-14
0.077003 1.692018416453888e-14
0.109663 1.652592821589273e-14
0.13333333333333333 1.6346911257570462e-14
0.14367 1.6297827547201414e-14
0.17633 1.6230943738041745e-14
0.2 1.6264455940383643e-14
0.210337 1.6297824642791063e-14
0.242997 1.6423979903647132e-14
0.26666666666666666 1.6535288016370692e-14
0.277003 1.658702345471932e-14
0.309663 1.677032562729424e-14
0.3333333333333333 1.6922209907254537e-14
0.34367 1.699234958734136e-14
0.37633 1.7233780986408403e-14
0.4 1.7427711588693806e-14
0.410337 1.7517720634627347e-14
0.442997 1.782247476334246e-14
0.4666666666666667 1.806271378105921e-14
0.477003 1.817454294853661e-14
0.509663 1.854894434410624e-14
0.5333333333333333 1.8840213922843116e-14
0.54367 1.897594564423885e-14
0.57633 1.9426532190841835e-14
0.6 1.9773531009033226e-14
0.610337 1.993638915880523e-14
0.642997 2.047351044826915e-14
0.6666666666666666 2.088386891954411e-14
0.677003 2.1027241898154748e-14
0.709663 2.14919807546777e-14
0.7333333333333333 2.1836467670529384e-14
0.74367 2.1996572241620645e-14
0.77633 2.2501921173852833e-14
0.8 2.2862537865098696e-14
0.810337 2.302728399173099e-14
0.842997 2.352699510654815e-14
0.8666666666666667 2.3862024918647262e-14
0.877003 2.4009265511069296e-14
0.909663 2.44220272756118e-14
0.9333333333333333 2.466196122586064e-14
0.94367 2.475548278206468e-14
0.97633 2.4955204019343577e-14
1.0 2.499999975e-14
Variable vx
0.0 4.651162747431045e-13
0.010337 4.598598080825621e-13
0.042997 4.452214179979005e-13
0.06666666666666667 4.363227863025167e-13
0.077003 4.3311129976670064e-13
0.109663 4.244488138308577e-13
0.13333333333333333 4.1950842591247654e-13
0.14367 4.178103432576271e-13
0.17633 4.137219365933641e-13
0.2 4.1194918005164906e-13
0.210337 4.082190683575956e-13
0.242997 3.971493244050968e-13
0.26666666666666666 3.897565085828816e-13
0.277003 3.86803018570471e-13
0.309663 3.780167855676327e-13
0.3333333333333333 3.7212858208815867e-13
0.34367 3.69717540902244e-13
0.37633 3.6252696088324584e-13
0.4 3.576874738621271e-13
0.410337 3.5565825753871107e-13
0.442997 3.495782100248594e-13
0.4666666666666667 3.4545514939954735e-13
0.477003 3.4369420324825897e-13
0.509663 3.3837506225911616e-13
0.5333333333333333 3.347252666698695e-13
0.54367 3.331410024588828e-13
0.57633 3.283058883897773e-13
0.6 3.2494267806687285e-13
0.610337 3.234519693893871e-13
0.642997 3.1885895341061846e-13
0.6666666666666666 3.156268441360798e-13
