ipopt_zL_out
Variable noncollocation_error
0.806202 -8.08239070876749e-15
0.825798 -9.72885109469726e-15
0.84 -1.1256563327462758e-14
0.846202 -1.2085547686463758e-14
0.865798 -1.5401879332452326e-14
0.88 -1.8735054670431955e-14
0.886202 -2.065683140728015e-14
0.905798 -2.913257778259846e-14
0.92 -3.9004740473896106e-14
0.926202 -4.539240993369225e-14
0.945798 -8.041454329825454e-14
0.96 -1.390936195719568e-13
0.966202 -1.9127842091938265e-13
0.985798 -9.299075354157074e-13
1.0 -0.0010000000000000002
Variable ry
0.0 -1.3333333244444444e-15
0.006202 -1.3168237483492313e-15
0.025798 -1.2714647264882032e-15
0.04 -1.2443392029444549e-15
0.046202 -1.2345097159180762e-15
0.065798 -1.2077892025160855e-15
0.08 -1.1922267397732104e-15
0.086202 -1.1867045898242665e-15
0.105798 -1.1723628644184597e-15
0.12 -1.1647800500357902e-15
0.126202 -1.1623159600884268e-15
0.145798 -1.1569902338417012e-15
0.16 -1.1554177602645551e-15
0.166202 -1.1553217784146656e-15
0.185798 -1.1571439938011172e-15
0.2 -1.1604864934870122e-15
0.206202 -1.1626775228344745e-15
0.225798 -1.1702370088107307e-15
0.24 -1.176328665590731e-15
0.246202 -1.179017370652395e-15
0.265798 -1.1881163383376083e-15
0.28 -1.195292408697886e-15
0.286202 -1.1984519630860493e-15
0.305798 -1.2090180171376764e-15
0.32 -1.217237399223231e-15
0.326202 -1.2208635173065465e-15
0.345798 -1.2328936384923946e-15
0.36 -1.2421639522343066e-15
0.366202 -1.2462729369810513e-15
0.385798 -1.2598283073505902e-15
0.4 -1.2702030269473125e-15
0.406202 -1.2748311570040205e-15
0.425798 -1.290035981208238e-15
0.44 -1.301614266366493e-15
0.446202 -1.3068183164872512e-15
0.465798 -1.3238621191880493e-15
0.48 -1.3367910794377005e-15
0.486202 -1.3426499150810518e-15
0.505798 -1.3617932088839864e-15
0.52 -1.3762725933775515e-15
0.526202 -1.3828898610304518e-15
0.545798 -1.4044732992716e-15
0.56 -1.4207627316692302e-15
0.566202 -1.428270720064916e-15
0.585798 -1.4527279887258902e-15
0.6 -1.471156938291879e-15
0.606202 -1.4797217077627388e-15
0.625798 -1.5075964377325169e-15
0.64 -1.5285770893558625e-15
0.646202 -1.5384049858462983e-15
0.665798 -1.5703719531716805e-15
0.68 -1.594415041450193e-15
0.686202 -1.6025286428976844e-15
0.705798 -1.6286319785920385e-15
0.72 -1.6479354539781005e-15
0.726202 -1.6568397593004829e-15
0.745798 -1.6852633042226209e-15
0.76 -1.7060558614653639e-15
0.766202 -1.7156153275024188e-15
0.785798 -1.7458271219370566e-15
0.8 -1.76761564327254e-15
0.806202 -1.7775737229721296e-15
0.825798 -1.808611896674125e-15
0.84 -1.830545482113575e-15
0.846202 -1.840465055065826e-15
0.865798 -1.8707402267132758e-15
0.88 -1.8914611844204637e-15
0.886202 -1.90065285923794e-15
0.905798 -1.9277234973442002e-15
0.92 -1.9452135636672286e-15
0.926202 -1.9526652959082636e-15
0.945798 -1.9730452530614682e-15
0.96 -1.984527694171724e-15
0.966202 -1.9888677640957224e-15
0.985798 -1.9979906993540103e-15
1.0 -1.99999998e-15
Variable rz
0.0 -3.70370364883402e-15
0.006202 -3.7971565927525355e-15
0.025798 -4.0965444567593256e-15
0.04 -4.313643500815214e-15
0.046202 -4.401245608504148e-15
0.065798 -4.669288530649986e-15
0.08 -4.850333476811645e-15
0.086202 -4.920117781313917e-15
0.105798 -5.118677656350194e-15
0.12 -5.2374109411545846e-15
0.126202 -5.279194948456276e-15
0.145798 -5.3807185392575145e-15
0.16 -5.4231355835830615e-15
0.166202 -5.432656400115933e-15
0.185798 -5.431263053887114e-15
0.2 -5.40066059178709e-15
0.206202 -5.378292370558481e-15
0.225798 -5.300765952222303e-15
0.24 -5.238583968541092e-15
0.246202 -5.21135552159512e-15
0.265798 -5.1205960246617194e-15
0.28 -5.05081062003504e-15
0.286202 -5.020638497330402e-15
0.305798 -4.922324300036779e-15
0.32 -4.848659943274579e-15
0.326202 -4.8169481433593585e-15
0.345798 -4.7151485481753186e-15
0.36 -4.640196769678151e-15
0.366202 -4.607919499937484e-15
0.385798 -4.5054000302105385e-15
0.4 -4.430870500610529e-15
0.406202 -4.398673170126336e-15
0.425798 -4.297225448698647e-15
0.44 -4.224188224188316e-15
0.446202 -4.192480897019341e-15
0.465798 -4.0932126809565495e-15
0.48 -4.022299800038515e-15
0.486202 -3.991333333157842e-15
0.505798 -3.89489808467608e-15
0.52 -3.82645794932016e-15
0.526202 -3.796381664328376e-15
0.545798 -3.7031491822257975e-15
0.56 -3.63735874325705e-15
0.566202 -3.6082620890466044e-15
0.585798 -3.5184400638470206e-15
0.6 -3.455383366246957e-15
0.606202 -3.427324974911607e-15
0.625798 -3.3410427701699915e-15
0.64 -3.280764267799004e-15
0.646202 -3.253791439918034e-15
0.665798 -3.1711556221578462e-15
0.68 -3.113694954456856e-15
0.686202 -3.095125563587703e-15
0.705798 -3.0378896933944963e-15
0.72 -2.9978772019599267e-15
0.726202 -2.9800432345331663e-15
0.745798 -2.925583732157686e-15
0.76 -2.8879764601599407e-15
0.766202 -2.8712789434882977e-15
0.785798 -2.8208052677181542e-15
0.8 -2.78643181275469e-15
0.806202 -2.7712516557124032e-15
0.825798 -2.7259339094353687e-15
0.84 -2.6956192435354087e-15
0.846202 -2.6823455149443115e-15
0.865798 -2.6434128091615402e-15
0.88 -2.618058730152725e-15
0.886202 -2.6071289833016764e-15
0.905798 -2.5760116379976524e-15
0.92 -2.5567157010988638e-15
0.926202 -2.5486780541656654e-15
0.945798 -2.5272313215997235e-15
0.96 -2.5154795525833543e-15
0.966202 -2.5110974303904382e-15
0.985798 -2.5019886246985665e-15
1.0 -2.499999975e-15
Variable vx
0.0 -5.4054053469685905e-14
0.006202 -5.451373526317019e-14
0.025798 -5.5944082602516065e-14
0.04 -5.695491506922622e-14
0.046202 -5.73591490520396e-14
0.065798 -5.859231873803902e-14
0.08 -5.943912022293523e-14
0.086202 -5.977266432489719e-14
0.105798 -6.076247799734142e-14
