Duals
Constraint rx_dt_disc_eq
0.785798 -0.01742544598868403
0.8 -0.0030144605933091276
0.806202 -0.011788980516197672
0.825798 -0.017599090719282322
0.84 -0.0028503272829078622
0.846202 -0.01168694475746824
0.865798 -0.01775922269721212
0.88 -0.0026989682658574115
0.886202 -0.011593082326526302
0.905798 -0.01790654972075448
0.92 -0.0025597149818079633
0.926202 -0.011506833678382745
0.945798 -0.018041953651067436
0.96 -0.0024317353319122637
0.966202 -0.011427557931930338
0.985798 -0.018166446031553703
1.0 -0.0023140755447863524
Constraint vx_dt_disc_eq
0.006202 -0.15984457984011105
0.025798 -0.2916931313624161
0.04 -0.0751900768009873
0.046202 -0.2706810291261463
0.065798 -0.43691380192113877
0.08 -0.10634474270192788
0.086202 -0.3743918315581882
0.105798 -0.5730796302286721
0.12 -0.13560953883064342
0.126202 -0.4718702812959088
0.145798 -0.701335250042085
0.16 -0.16322683333454352
0.166202 -0.563917361506692
0.185798 -0.8227155072504626
0.2 -0.1894164161621244
0.206202 -0.6544919056408837
0.225798 -0.9541338031685483
0.24 -0.22037769374767177
0.246202 -0.7566689663123737
0.265798 -1.0889283848560514
0.28 -0.24964799024525244
0.286202 -0.8541545086468945
0.305798 -1.2180540747709565
0.32 -0.27778277977530763
0.326202 -0.9479740424694685
0.345798 -1.3428824627228908
0.36 -0.30507214695812007
0.366202 -1.0391092009900103
0.385798 -1.464735134588903
0.4 -0.33179493901819945
0.406202 -1.1285086056577571
0.425798 -1.5848961639261125
0.44 -0.3582226433183462
0.446202 -1.2170989492992677
0.465798 -1.7046244828747146
0.48 -0.3846235838632129
0.486202 -1.3057963497558467
0.505798 -1.825166871310903
0.52 -0.41126716522476364
0.526202 -1.3955177722338046
0.545798 -1.9477719724590987
0.56 -0.43842776049045423
0.566202 -1.4871921448058971
0.585798 -2.07370529751952
0.6 -0.46638798119711256
0.606202 -1.5817709378490947
0.625798 -2.2042647821034915
0.64 -0.49544130688487875
0.646202 -1.6802382379560628
0.665798 -2.3407966061563443
0.68 -0.5258944334580513
0.686202 -1.7777031872936266
0.705798 -2.4606173104388236
0.72 -0.5474177293489985
0.726202 -1.85584469405852
0.745798 -2.5689396562353557
0.76 -0.5714908587528534
0.766202 -1.9376041718153096
0.785798 -2.6824834948655427
0.8 -0.5967595259078396
0.806202 -2.0234716823680525
0.825798 -2.801937149866307
0.84 -0.6233810875037906
0.846202 -2.113982327864872
0.865798 -2.928058826270893
0.88 -0.651530170609168
0.886202 -2.209732187436695
0.905798 -3.0617023834480097
0.92 -0.6814054441296055
0.926202 -2.311402602913612
0.945798 -3.203857505026958
0.96 -0.7132403978703431
0.966202 -2.4197991687779083
0.985798 -3.355715633627313
1.0 -0.7473213602791168
Constraint vy_dt_disc_eq
0.006202 1.9550453368696301
0.025798 2.5568873413343565
0.04 0.5470213658743194
0.046202 1.819472398745854
0.065798 2.3791598756339205
0.08 0.5089426933017264
0.086202 1.6926219158461537
0.105798 2.212498851139147
0.12 0.47318276251218394
0.126202 1.5733998870306962
0.145798 2.0555065789630373
0.16 0.43944349684552336
0.166202 1.460825124887246
0.185798 1.9069199712838636
0.2 0.40745427448642607
0.206202 1.3509704302853096
0.225798 1.7438544467285035
0.24 0.3708931636775421
0.246202 1.226038868709403
0.265798 1.5787691532427006
0.28 0.3351850567122684
0.286202 1.106838615378264
0.305798 1.420639200833859
0.32 0.3008545852118946
0.326202 0.9921092677024318
0.345798 1.2678002949662917
0.36 0.2675388841748152
0.366202 0.8806443520291902
0.385798 1.118648723632471
0.4 0.2348891810276928
0.406202 0.7712790352919027
0.425798 0.9716236875430111
0.44 0.2025674371888062
0.446202 0.662877501843796
0.465798 0.8251899390994055
0.48 0.17024250588279047
0.486202 0.5543196019203103
0.505798 0.6778206101180021
0.52 0.13758568345787692
0.526202 0.4444867907084832
0.545798 0.5279802709046197
0.56 0.10426583323532512
0.566202 0.3322478431392321
0.585798 0.3741082054524843
0.6 0.06994443790560316
0.606202 0.21644487907641147
0.625798 0.21460183304954336
0.64 0.03427095866072119
0.646202 0.09588002648749219
