ipopt_zU_out
Variable noncollocation_error
0.13333333333333333 7.079936087851298e-14
0.14367 7.227690793548185e-14
0.17633 7.438147506706903e-14
0.2 7.325412232775034e-14
0.210337 7.219388029741712e-14
0.242997 6.820563991739491e-14
0.26666666666666666 6.504144477645081e-14
0.277003 6.365237232732278e-14
0.309663 5.929498922197816e-14
0.3333333333333333 5.6217438281276364e-14
0.34367 5.4905223331978226e-14
0.37633 5.091547962286806e-14
0.4 4.8192508278730367e-14
0.410337 4.705125933456158e-14
0.442997 4.364292501831366e-14
0.4666666666666667 4.136194798291628e-14
0.477003 4.041519164734146e-14
0.509663 3.7615638587077074e-14
0.5333333333333333 3.576177968912533e-14
0.54367 3.4996168369106716e-14
0.57633 3.274323674864212e-14
0.6 3.125844581838096e-14
0.610337 3.064648758154418e-14
0.642997 2.884859531012292e-14
0.6666666666666666 2.7664988369722124e-14
0.677003 2.7177036543538765e-14
0.709663 2.574466740827871e-14
0.7333333333333333 2.4812777912228602e-14
0.74367 2.4433993523449995e-14
0.77633 2.334900667488262e-14
0.8 2.266578171438961e-14
0.810337 2.2393753077393546e-14
0.842997 2.1636120354750438e-14
0.8666666666666667 2.1180389670378295e-14
0.877003 2.10052535097948e-14
0.909663 2.0545219076359496e-14
0.9333333333333333 2.0298940743223015e-14
0.94367 2.0214215268968514e-14
0.97633 2.0038424736942923e-14
1.0 1.9999999800000003e-14
Variable rz
0.0 1.886792438590358e-14
0.010337 1.8541894885877893e-14
0.042997 1.7690848198882787e-14
0.06666666666666667 1.721948113783181e-14
0.077003 1.704693229065913e-14
0.109663 1.6620344762864418e-14
0.13333333333333333 1.641361616792694e-14
0.14367 1.6348346759636287e-14
0.17633 1.623708989017924e-14
0.2 1.6243865111492905e-14
0.210337 1.6266387101870787e-14
0.242997 1.6369726276942365e-14
0.26666666666666666 1.646847803473782e-14
0.277003 1.6516400972227227e-14
0.309663 1.6687407238297868e-14
0.3333333333333333 1.6830144230803774e-14
0.34367 1.6897494434483302e-14
0.37633 1.713060559140121e-14
0.4 1.7318997955522005e-14
0.410337 1.7406441663988012e-14
0.442997 1.7703554721774966e-14
0.4666666666666667 1.7938721801422607e-14
0.477003 1.8046664831614832e-14
0.509663 1.840867374476579e-14
0.5333333333333333 1.8690877626419002e-14
0.54367 1.8819327741646523e-14
0.57633 1.924583445536585e-14
0.6 1.957439919762227e-14
0.610337 1.9722962286454984e-14
0.642997 2.021235681916869e-14
0.6666666666666666 2.0585778588382124e-14
0.677003 2.0753829181003104e-14
0.709663 2.1305021173523215e-14
0.7333333333333333 2.1718616191450393e-14
0.74367 2.1901400602781562e-14
0.77633 2.2479621124624916e-14
0.8 2.2891816066766914e-14
0.810337 2.3067850000364456e-14
0.842997 2.359876170342087e-14
